Rok,Miesiąc,Rodzaj świadczenia,Rozopznanie (Kod ICD-10),Liczba świadczeń,Kategoria
2014,styczeń,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,styczeń,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,styczeń,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,styczeń,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),8,Piesi
2014,styczeń,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,luty,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,luty,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,luty,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2014,luty,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2014,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2014,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2014,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,marzec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2014,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2014,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2014,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),13,Piesi
2014,marzec,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,kwiecień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),10,Piesi
